time,loss,rtt,current_bitrate,target_bitrate,fec_enabled,overhead,reason
0,0.0400,100,1000000.0000,1200000.0000,true,0.0800,FEC enabled: network protection required | adjusted protection factor
1,0.0450,100,1000000.0000,1200000.0000,true,0.0800,
2,0.0500,100,1000000.0000,1200000.0000,true,0.0800,
3,0.0550,100,1000000.0000,1200000.0000,true,0.1017,adjusted protection factor
4,0.0600,100,1000000.0000,1200000.0000,true,0.1017,
5,0.0550,100,1000000.0000,1200000.0000,true,0.1017,
6,0.0500,100,1000000.0000,1200000.0000,true,0.1017,
7,0.0450,100,1000000.0000,1200000.0000,true,0.1017,
8,0.0400,100,1000000.0000,1200000.0000,true,0.0800,adjusted protection factor
9,0.0450,100,1000000.0000,1200000.0000,true,0.0800,
10,0.0500,100,1000000.0000,1200000.0000,true,0.0800,
11,0.0550,100,1000000.0000,1200000.0000,true,0.1017,adjusted protection factor
12,0.0500,100,1000000.0000,1200000.0000,true,0.1017,
13,0.0450,100,1000000.0000,1200000.0000,true,0.1017,
14,0.0400,100,1000000.0000,1200000.0000,true,0.0800,adjusted protection factor
